instance_id,tag,seed,n_vars,mechanism_class,has_self_edge,poset_shape,graham_acyclic,n_realized_patterns,target,true_value,gt_recoverable,gt_evidence,lp_width,witness_delta_phi,sheaf_recoverable,phi_spread_over_fiber,n_distinct_completions,observed_family_completable,conflict_mcar_style,agreement
n2_s008_d1,n2,20278902,2,MNAR_other,False,acyclic,True,4,"['mean', 0]",,RECOVERABLE,formula:direct_full_pattern,,,RECOVERABLE,0.0,1,False,True,True
n2_s008_d1,n2,20278902,2,MNAR_other,False,acyclic,True,4,"['mean', 1]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,0.0,1,False,True,True
n2_s008_d0,n2,20278901,2,MNAR_other,False,acyclic,True,4,"['mean', 0]",,RECOVERABLE,formula:direct_full_pattern,,,RECOVERABLE,0.0,1,False,True,True
n2_s008_d0,n2,20278901,2,MNAR_other,False,acyclic,True,4,"['mean', 1]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,0.0,1,False,True,True
n2_s005_d1,n2,20275902,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.49716518325332115,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s005_d1,n2,20275902,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",,RECOVERABLE,formula:direct_full_pattern,,,RECOVERABLE,0.0,1,False,True,True
n2_s009_d0,n2,20279901,2,MNAR_other,False,acyclic,True,4,"['mean', 0]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,0.0,1,False,True,True
n2_s009_d0,n2,20279901,2,MNAR_other,False,acyclic,True,4,"['mean', 1]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,0.0,1,False,True,True
n2_s009_d1,n2,20279902,2,MNAR_other,False,acyclic,True,4,"['mean', 0]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,0.0,1,False,True,True
n2_s009_d1,n2,20279902,2,MNAR_other,False,acyclic,True,4,"['mean', 1]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,0.0,1,False,True,True
n2_s007_d0,n2,20277901,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.5066186802162329,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,9.769962616701378e-15,12,False,True,UNDECIDED_GT
n2_s007_d0,n2,20277901,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.7312297171726168,UNRECOVERABLE,model_witness dphi=0.3270 dist=1.1e-16,0.5,0.3269562075660032,UNRECOVERABLE,0.2928544311035163,12,False,True,True
n2_s007_d1,n2,20277902,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.2779847119321755,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,3.552713678800501e-15,12,False,True,UNDECIDED_GT
n2_s007_d1,n2,20277902,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.5892048473403865,UNRECOVERABLE,model_witness dphi=0.1430 dist=2.2e-16,0.5,0.1430342212924931,UNRECOVERABLE,0.17205305291981565,12,False,True,True
n2_s011_d0,n2,20281901,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,0.0,1,False,True,True
n2_s011_d0,n2,20281901,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.22757145862748082,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s011_d1,n2,20281902,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,0.0,1,False,True,True
n2_s011_d1,n2,20281902,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.4038341461426014,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s010_d1,n2,20280902,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",,RECOVERABLE,formula:direct_full_pattern,,,RECOVERABLE,0.0,1,False,True,True
n2_s010_d1,n2,20280902,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.7585941983748646,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s005_d0,n2,20275901,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.8236500602050152,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s005_d0,n2,20275901,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",,RECOVERABLE,formula:direct_full_pattern,,,RECOVERABLE,0.0,1,False,True,True
n2_s010_d0,n2,20280901,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",,RECOVERABLE,formula:direct_full_pattern,,,RECOVERABLE,0.0,1,False,True,True
n2_s010_d0,n2,20280901,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.6207164641386457,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s012_d0,n2,20282901,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.47071871436458634,UNRECOVERABLE,model_witness dphi=0.2263 dist=2.2e-16,0.5,0.22628197086604673,UNRECOVERABLE,0.3414830414738653,12,False,True,True
n2_s012_d0,n2,20282901,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,1.1102230246251565e-16,12,False,True,True
n2_s012_d1,n2,20282902,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.5647012533329526,UNRECOVERABLE,model_witness dphi=0.2577 dist=6.0e-16,0.5,0.2576894705508602,UNRECOVERABLE,0.29361405687136855,12,False,True,True
n2_s012_d1,n2,20282902,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,1.4432899320127035e-15,12,False,True,True
n2_s015_d0,n2,20285901,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.4144049982567982,UNRECOVERABLE,model_witness dphi=0.1697 dist=1.1e-16,0.5,0.16968368585791316,UNRECOVERABLE,0.20565195846506518,12,False,True,True
n2_s015_d0,n2,20285901,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.43836221040421364,UNRECOVERABLE,model_witness dphi=0.2073 dist=1.1e-16,0.5,0.2073021597313148,UNRECOVERABLE,0.24879081417137255,12,False,True,True
n2_s015_d1,n2,20285902,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.23013247436617235,UNRECOVERABLE,model_witness dphi=0.4100 dist=1.7e-16,0.5,0.40996618850923383,UNRECOVERABLE,0.341244609572115,12,False,True,True
n2_s015_d1,n2,20285902,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.23663010497836515,UNRECOVERABLE,model_witness dphi=0.2196 dist=1.1e-16,0.5,0.21956053127363093,UNRECOVERABLE,0.23966184369149376,12,False,True,True
n2_s014_d0,n2,20284901,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.2897288497468389,UNRECOVERABLE,model_witness dphi=0.1605 dist=1.1e-16,0.5,0.16045428917256077,UNRECOVERABLE,0.19413645004112606,12,False,True,True
